Security,Type,InputType,Input,Source
AUD,FORWARD,10YYields,GTAUD10YR Corp,BBG
AUD,FORWARD,2YYields,GTAUD2YR Corp,BBG
AUD,FORWARD,3MYields,AUTE3MAY Index,BBG
AUD,FORWARD,Balance of Payments,G10:N193BBPG,HAVER
AUD,FORWARD,Carry,AUDI3M Curncy,BBG
AUD,FORWARD,Carry 12M,AUDI12M Curncy,BBG
AUD,FORWARD,Carry2,US0003M Index,BBG
AUD,FORWARD,Carry2 12M,US0012M Curncy,BBG
AUD,FORWARD,ClearMacro,Australia,CLEARMACRO
AUD,FORWARD,ClearMacro V3,AUS,CLEARMACRO
AUD,FORWARD,CPI,AUCCPI..E,DATASTREAM
AUD,FORWARD,CPI_YOY,AUCPIYOY Index,BBG
AUD,FORWARD,Current Account,EHCAAU INDEX,BBG
AUD,FORWARD,Economic Surprises,CESIAUD Index,BBG
AUD,FORWARD,Equity Performance,AS51 Index,BBG
AUD,FORWARD,Inflation Surprises,CSIIAUD Index,BBG
AUD,FORWARD,Long term rate,AUGBOND.,DATASTREAM
AUD,FORWARD,OECD CLI,OEAUKLAC Index,BBG
AUD,FORWARD,PPP,PPP AS Index,BBG
AUD,FORWARD,Return Period,66,BBG
AUD,FORWARD,RISK_TICKER,USDAUD CURNCY,BBG
AUD,FORWARD,RISK_TICKER2,AUDUSD CURNCY,BBG
AUD,FORWARD,Short term rate,AUMSHORT,DATASTREAM
AUD,FORWARD,Spot,USDAUD Curncy,BBG
AUD,FORWARD,Terms of Trade,AUTOTPRCF,DATASTREAM
AUD,FORWARD,Unemployment Rate,AULFUNEM Index,BBG
AUD,FUTURE,ACTIVE_TICKER,ADA CURNCY,BBG
AUD,FUTURE,Carry,AUDUSD CURNCY,BBG
AUD,FUTURE,Carry2,AUD1M CURNCY,BBG
AUD,FUTURE,ClearMacro,Australia,CLEARMACRO
AUD,FUTURE,ClearMacro V3,AUS,CLEARMACRO
AUD,FUTURE,CPI,AUCCPI..E,DATASTREAM
AUD,FUTURE,CPI_YOY,AUCPIYOY Index,BBG
AUD,FUTURE,Current Account,EHCAAU INDEX,BBG
AUD,FUTURE,Equity Performance,AS51 Index,BBG
AUD,FUTURE,FX XXXGBP,USDGBP CURNCY,BBG
AUD,FUTURE,GENERIC_TICKER,AD1_CURNCY,BBG
AUD,FUTURE,NO_ADJ,AD1 A:00_0_N? CURNCY,BBG
AUD,FUTURE,Return Period,66,BBG
AUD,FUTURE,RISK_TICKER,AD1 A:00_0_R? CURNCY,BBG
AUD,FUTURE,RISK_TICKER2,AD1 A:00_0_R? CURNCY,BBG
AUD,FUTURE,Short term rate,AUMSHORT,DATASTREAM
AUD,FUTURE,Spot,AD1 A:00_0_R? CURNCY,BBG
AUD,FUTURE,Terms of Trade,AUTOTPRCF,DATASTREAM
AUD,FUTURE,TREND_PRICE,AD1 A:00_0_D? CURNCY,BBG
AUD,FUTURE,Unemployment Rate,AULFUNEM Index,BBG
AUS 10YR,FUTURE,10YYields,I00110Y INDEX,BBG
AUS 10YR,FUTURE,2YYields,I00102Y INDEX,BBG
AUS 10YR,FUTURE,ACTIVE_TICKER,XMA COMDTY,BBG
AUS 10YR,FUTURE,Carry,I00103M INDEX,BBG
AUS 10YR,FUTURE,Carry2,I00109Y INDEX,BBG
AUS 10YR,FUTURE,Carry3,I00110Y INDEX,BBG
AUS 10YR,FUTURE,ClearMacro,Australia,CLEARMACRO
AUS 10YR,FUTURE,CPI,AUCCPI..E,DATASTREAM
AUS 10YR,FUTURE,Equity Performance,AS51 Index,BBG
AUS 10YR,FUTURE,GENERIC_TICKER,XM1_COMDTY,BBG
AUS 10YR,FUTURE,NO_ADJ,XM1 A:00_0_N? COMDTY,BBG
AUS 10YR,FUTURE,Return Period,252,BBG
AUS 10YR,FUTURE,RISK_TICKER,XM1 A:00_0_R? COMDTY,BBG
AUS 10YR,FUTURE,RISK_TICKER2,XM1 A:00_0_R? COMDTY,BBG
AUS 10YR,FUTURE,Short term rate,AUMSHORT,DATASTREAM
AUS 10YR,FUTURE,Spot,XM1 A:00_0_R? COMDTY,BBG
AUS 10YR,FUTURE,Terms of Trade,AUTOTPRCF,DATASTREAM
AUS 10YR,FUTURE,TREND_PRICE,XM1 A:00_0_D? COMDTY,BBG
AUSTRALIA,FUTURE,ACTIVE_TICKER,XPA INDEX,BBG
AUSTRALIA,FUTURE,ASR ERP,AUASERP,DATASTREAM
AUSTRALIA,FUTURE,Carry,XP1 A:00_0_N? INDEX,BBG
AUSTRALIA,FUTURE,Carry2,XP2 A:00_0_N? INDEX,BBG
AUSTRALIA,FUTURE,ClearMacro,Australia,CLEARMACRO
AUSTRALIA,FUTURE,CPI,AUCCPI..E,DATASTREAM
AUSTRALIA,FUTURE,FX XXXGBP,AUDGBP CURNCY,BBG
AUSTRALIA,FUTURE,FX XXXUSD,AUDUSD CURNCY,BBG
AUSTRALIA,FUTURE,GENERIC_TICKER,XP1_INDEX,BBG
AUSTRALIA,FUTURE,MSCI Index,MXAU INDEX,BBG
AUSTRALIA,FUTURE,NO_ADJ,XP1 A:00_0_N? INDEX,BBG
AUSTRALIA,FUTURE,Return Period,252,BBG
AUSTRALIA,FUTURE,RISK_TICKER,XP1 A:00_0_R? INDEX,BBG
AUSTRALIA,FUTURE,RISK_TICKER2,XP1 A:00_0_R? INDEX,BBG
AUSTRALIA,FUTURE,Short term rate,AUMSHORT,DATASTREAM
AUSTRALIA,FUTURE,Spot,XP1 A:00_0_R? INDEX,BBG
AUSTRALIA,FUTURE,Terms of Trade,AUTOTPRCF,DATASTREAM
AUSTRALIA,FUTURE,TREND_PRICE,XP1 A:00_0_D? INDEX,BBG
BOBL,FUTURE,ACTIVE_TICKER,OEA COMDTY,BBG
BOBL,FUTURE,Carry,I01603M INDEX,BBG
BOBL,FUTURE,Carry2,I01609Y INDEX,BBG
BOBL,FUTURE,Carry3,I01610Y INDEX,BBG
BOBL,FUTURE,ClearMacro,Germany,CLEARMACRO
BOBL,FUTURE,Equity Performance,DAX Index,BBG
BOBL,FUTURE,GENERIC_TICKER,OE1_COMDTY,BBG
BOBL,FUTURE,NO_ADJ,OE1 A:00_0_N? COMDTY,BBG
BOBL,FUTURE,Return Period,252,BBG
BOBL,FUTURE,RISK_TICKER,OE1 A:00_0_R? COMDTY,BBG
BOBL,FUTURE,RISK_TICKER2,OE1 A:00_0_R? COMDTY,BBG
BOBL,FUTURE,Spot,OE1 A:00_0_R? COMDTY,BBG
BOBL,FUTURE,TREND_PRICE,OE1 A:00_0_D? COMDTY,BBG
BRAZIL,FUTURE,ACTIVE_TICKER,BZA INDEX,BBG
BRAZIL,FUTURE,Carry,BZ1 A:00_0_N? INDEX,BBG
BRAZIL,FUTURE,Carry2,BZ2 A:00_0_N? INDEX,BBG
BRAZIL,FUTURE,ClearMacro,Brazil,CLEARMACRO
BRAZIL,FUTURE,GENERIC_TICKER,BZ1_INDEX,BBG
BRAZIL,FUTURE,NO_ADJ,BZ1 A:00_0_N? INDEX,BBG
BRAZIL,FUTURE,Return Period,252,BBG
BRAZIL,FUTURE,RISK_TICKER,BZ1 A:00_0_R? INDEX,BBG
BRAZIL,FUTURE,RISK_TICKER2,BZ1 A:00_0_R? INDEX,BBG
BRAZIL,FUTURE,Spot,BZ1 A:00_0_R? INDEX,BBG
BRAZIL,FUTURE,TREND_PRICE,BZ1 A:00_0_D? INDEX,BBG
BRENT CRUDE,FUTURE,ACTIVE_TICKER,COA COMDTY,BBG
BRENT CRUDE,FUTURE,Carry,CO1 A:00_0_N? COMDTY,BBG
BRENT CRUDE,FUTURE,Carry2,CO2 A:00_0_N? COMDTY,BBG
BRENT CRUDE,FUTURE,FX XXXGBP,USDGBP CURNCY,BBG
BRENT CRUDE,FUTURE,GENERIC_TICKER,CO1_COMDTY,BBG
BRENT CRUDE,FUTURE,NO_ADJ,CO1 A:00_0_N? COMDTY,BBG
BRENT CRUDE,FUTURE,Return Period,252,BBG
BRENT CRUDE,FUTURE,RISK_TICKER,CO1 A:00_0_R? COMDTY,BBG
BRENT CRUDE,FUTURE,RISK_TICKER2,CO1 A:00_0_R? COMDTY,BBG
BRENT CRUDE,FUTURE,Spot,CO1 A:00_0_R? COMDTY,BBG
BRENT CRUDE,FUTURE,TREND_PRICE,CO1 A:00_0_D? COMDTY,BBG
BRL,FORWARD,10YYields,GEBR10Y Index,BBG
BRL,FORWARD,2M_FWD,BCN2M CMPN Curncy,BBG
BRL,FORWARD,2YYields,GEBR02Y Index,BBG
BRL,FORWARD,3M_FWD,BCN3M CMPN Curncy,BBG
BRL,FORWARD,3MYields,BZAD3M Index,BBG
BRL,FORWARD,ACTIVE_TICKER,USDBRLCR CURNCY,BBG
BRL,FORWARD,Carry,BCNI3M Curncy,BBG
BRL,FORWARD,Carry 12M,BCNI12M CMPN Curncy,BBG
BRL,FORWARD,Carry2,US0003M Curncy,BBG
BRL,FORWARD,Carry2 12M,US0012M Curncy,BBG
BRL,FORWARD,Carry3,CEWSBRL Index,BBG
BRL,FORWARD,ClearMacro,Brazil,CLEARMACRO
BRL,FORWARD,CPI_YOY,BZPIIPCY Index,BBG
BRL,FORWARD,Current Account,EHCABR INDEX,BBG
BRL,FORWARD,Economic Surprises,CESIBRL Index,BBG
BRL,FORWARD,Equity Performance,IBOV Index,BBG
BRL,FORWARD,FX XXXGBP,BRLGBP CURNCY,BBG
BRL,FORWARD,GBP_Spot,GBPBRL Curncy,BBG
BRL,FORWARD,GENERIC_TICKER,USDBRLCR_CURNCY,BBG
BRL,FORWARD,IMPVOL,USDBRLV3M Curncy,BBG
BRL,FORWARD,Inflation Surprises,CSIIBRL Index,BBG
BRL,FORWARD,NO_ADJ,USDBRL CURNCY,BBG
BRL,FORWARD,OECD CLI,OEBRKLAC Index,BBG
BRL,FORWARD,PPP,IPPPBRA Index,BBG
BRL,FORWARD,Return Period,22,BBG
BRL,FORWARD,RISK_TICKER,USDBRL CURNCY,BBG
BRL,FORWARD,RISK_TICKER2,BRLUSD CURNCY,BBG
BRL,FORWARD,Spot,USDBRL CURNCY,BBG
BRL,FORWARD,TREND_PRICE,USDBRL CURNCY,BBG
BRL,FORWARD,Unemployment Rate,BRLFUNRT Index,BBG
BRL,FORWARD,USD_Spot,USDBRL Curncy,BBG
BTP,FUTURE,ACTIVE_TICKER,IKA COMDTY,BBG
BTP,FUTURE,Carry,I04003M INDEX,BBG
BTP,FUTURE,Carry2,I04009Y INDEX,BBG
BTP,FUTURE,Carry3,I04010Y INDEX,BBG
BTP,FUTURE,ClearMacro,Italy,CLEARMACRO
BTP,FUTURE,Equity Performance,FTSEMIB Index,BBG
BTP,FUTURE,FX XXXGBP,EURGBP CURNCY,BBG
BTP,FUTURE,GENERIC_TICKER,IK1_COMDTY,BBG
BTP,FUTURE,NO_ADJ,IK1 A:00_0_N? COMDTY,BBG
BTP,FUTURE,Return Period,252,BBG
BTP,FUTURE,RISK_TICKER,IK1 A:00_0_R? COMDTY,BBG
BTP,FUTURE,RISK_TICKER2,IK1 A:00_0_R? COMDTY,BBG
BTP,FUTURE,Spot,IK1 A:00_0_R? COMDTY,BBG
BTP,FUTURE,TREND_PRICE,IK1 A:00_0_D? COMDTY,BBG
BUND,FUTURE,10YYields,I01610Y INDEX,BBG
BUND,FUTURE,2YYields,I01602Y INDEX,BBG
BUND,FUTURE,ACTIVE_TICKER,RXA COMDTY,BBG
BUND,FUTURE,Carry,I01603M INDEX,BBG
BUND,FUTURE,Carry2,I01609Y INDEX,BBG
BUND,FUTURE,Carry3,I01610Y INDEX,BBG
BUND,FUTURE,ClearMacro,Germany,CLEARMACRO
BUND,FUTURE,Equity Performance,DAX Index,BBG
BUND,FUTURE,FX XXXGBP,EURGBP CURNCY,BBG
BUND,FUTURE,GENERIC_TICKER,RX1_COMDTY,BBG
BUND,FUTURE,NO_ADJ,RX1 A:00_0_N? COMDTY,BBG
BUND,FUTURE,Return Period,252,BBG
BUND,FUTURE,RISK_TICKER,RX1 A:00_0_R? COMDTY,BBG
BUND,FUTURE,RISK_TICKER2,RX1 A:00_0_R? COMDTY,BBG
BUND,FUTURE,Spot,RX1 A:00_0_R? COMDTY,BBG
BUND,FUTURE,TREND_PRICE,RX1 A:00_0_D? COMDTY,BBG
BUXL,FUTURE,ACTIVE_TICKER,UBA COMDTY,BBG
BUXL,FUTURE,Carry,I01603M INDEX,BBG
BUXL,FUTURE,Carry2,I01609Y INDEX,BBG
BUXL,FUTURE,Carry3,I01610Y INDEX,BBG
BUXL,FUTURE,ClearMacro,Germany,CLEARMACRO
BUXL,FUTURE,Equity Performance,DAX Index,BBG
BUXL,FUTURE,GENERIC_TICKER,UB1_COMDTY,BBG
BUXL,FUTURE,NO_ADJ,UB1 A:00_0_N? COMDTY,BBG
BUXL,FUTURE,Return Period,252,BBG
BUXL,FUTURE,RISK_TICKER,UB1 A:00_0_R? COMDTY,BBG
BUXL,FUTURE,RISK_TICKER2,UB1 A:00_0_R? COMDTY,BBG
BUXL,FUTURE,Spot,UB1 A:00_0_R? COMDTY,BBG
BUXL,FUTURE,TREND_PRICE,UB1 A:00_0_D? COMDTY,BBG
CAD,FORWARD,10YYields,GTCAD10YR Corp,BBG
CAD,FORWARD,2YYields,GTCAD2YR Corp,BBG
CAD,FORWARD,3MYields,FMSTTB3M Index,BBG
CAD,FORWARD,Balance of Payments,G10:N156BBPG,HAVER
CAD,FORWARD,Carry,CADI3M Curncy,BBG
CAD,FORWARD,Carry 12M,CADI12M CURNCY,BBG
CAD,FORWARD,Carry2,US0003M Index,BBG
CAD,FORWARD,Carry2 12M,US0012M Curncy,BBG
CAD,FORWARD,ClearMacro,Canada,CLEARMACRO
CAD,FORWARD,CPI,CNI64...F,DATASTREAM
CAD,FORWARD,CPI_YOY,CACPIYOY Index,BBG
CAD,FORWARD,Current Account,EHCACA INDEX,BBG
CAD,FORWARD,Economic Surprises,CESICAD Index,BBG
CAD,FORWARD,Equity Performance,SPTSX Index,BBG
CAD,FORWARD,Inflation Surprises,CSIICAD Index,BBG
CAD,FORWARD,Long term rate,CNGBOND.,DATASTREAM
CAD,FORWARD,OECD CLI,OECAKLAC Index,BBG
CAD,FORWARD,PPP,PPP CA Index,BBG
CAD,FORWARD,Return Period,66,BBG
CAD,FORWARD,RISK_TICKER,USDCAD CURNCY,BBG
CAD,FORWARD,RISK_TICKER2,CADUSD CURNCY,BBG
CAD,FORWARD,Short term rate,CNB14044,DATASTREAM
CAD,FORWARD,Spot,USDCAD Curncy,BBG
CAD,FORWARD,Terms of Trade,CNTOTPRCE,DATASTREAM
CAD,FORWARD,Unemployment Rate,CANLXEMR Index,BBG
CAD,FUTURE,ACTIVE_TICKER,CDA CURNCY,BBG
CAD,FUTURE,Carry,CADUSD CURNCY,BBG
CAD,FUTURE,Carry2,CAD1M CURNCY,BBG
CAD,FUTURE,ClearMacro,Canada,CLEARMACRO
CAD,FUTURE,CPI,CNI64...F,DATASTREAM
CAD,FUTURE,CPI_YOY,CACPIYOY Index,BBG
CAD,FUTURE,Current Account,EHCACA INDEX,BBG
CAD,FUTURE,Equity Performance,SPTSX Index,BBG
CAD,FUTURE,FX XXXGBP,USDGBP CURNCY,BBG
CAD,FUTURE,GENERIC_TICKER,CD1_CURNCY,BBG
CAD,FUTURE,NO_ADJ,CD1 A:00_0_N? CURNCY,BBG
CAD,FUTURE,Return Period,66,BBG
CAD,FUTURE,RISK_TICKER,CD1 A:00_0_R? CURNCY,BBG
CAD,FUTURE,RISK_TICKER2,CD1 A:00_0_R? CURNCY,BBG
CAD,FUTURE,Short term rate,CNB14044,DATASTREAM
CAD,FUTURE,Spot,CD1 A:00_0_R? CURNCY,BBG
CAD,FUTURE,Terms of Trade,CNTOTPRCE,DATASTREAM
CAD,FUTURE,TREND_PRICE,CD1 A:00_0_D? CURNCY,BBG
CAD,FUTURE,Unemployment Rate,CANLXEMR Index,BBG
CAN 10YR,FUTURE,10YYields,I00710Y INDEX,BBG
CAN 10YR,FUTURE,2YYields,I00702Y INDEX,BBG
CAN 10YR,FUTURE,ACTIVE_TICKER,CNA COMDTY,BBG
CAN 10YR,FUTURE,Carry,I00703M INDEX,BBG
CAN 10YR,FUTURE,Carry2,I00709Y INDEX,BBG
CAN 10YR,FUTURE,Carry3,I00710Y INDEX,BBG
CAN 10YR,FUTURE,ClearMacro,Canada,CLEARMACRO
CAN 10YR,FUTURE,CPI,CNI64...F,DATASTREAM
CAN 10YR,FUTURE,Equity Performance,SPTSX Index,BBG
CAN 10YR,FUTURE,FX XXXGBP,CADGBP CURNCY,BBG
CAN 10YR,FUTURE,GENERIC_TICKER,CN1_COMDTY,BBG
CAN 10YR,FUTURE,NO_ADJ,CN1 A:00_0_N? COMDTY,BBG
CAN 10YR,FUTURE,Return Period,252,BBG
CAN 10YR,FUTURE,RISK_TICKER,CN1 A:00_0_R? COMDTY,BBG
CAN 10YR,FUTURE,RISK_TICKER2,CN1 A:00_0_R? COMDTY,BBG
CAN 10YR,FUTURE,Spot,CN1 A:00_0_R? COMDTY,BBG
CAN 10YR,FUTURE,Terms of Trade,CNTOTPRCE,DATASTREAM
CAN 10YR,FUTURE,TREND_PRICE,CN1 A:00_0_D? COMDTY,BBG
CANADA,FUTURE,ACTIVE_TICKER,PTA INDEX,BBG
CANADA,FUTURE,ASR ERP,CNASERP,DATASTREAM
CANADA,FUTURE,Carry,PT1 A:00_0_N? INDEX,BBG
CANADA,FUTURE,Carry2,PT2 A:00_0_N? INDEX,BBG
CANADA,FUTURE,ClearMacro,Canada,CLEARMACRO
CANADA,FUTURE,CPI,CNI64...F,DATASTREAM
CANADA,FUTURE,FX XXXGBP,CADGBP CURNCY,BBG
CANADA,FUTURE,FX XXXUSD,CADUSD CURNCY,BBG
CANADA,FUTURE,GENERIC_TICKER,PT1_INDEX,BBG
CANADA,FUTURE,MSCI Index,MXCA INDEX,BBG
CANADA,FUTURE,NO_ADJ,PT1 A:00_0_N? INDEX,BBG
CANADA,FUTURE,Return Period,252,BBG
CANADA,FUTURE,RISK_TICKER,PT1 A:00_0_R? INDEX,BBG
CANADA,FUTURE,RISK_TICKER2,PT1 A:00_0_R? INDEX,BBG
CANADA,FUTURE,Short term rate,CNB14044,DATASTREAM
CANADA,FUTURE,Spot,PT1 A:00_0_R? INDEX,BBG
CANADA,FUTURE,Terms of Trade,CNTOTPRCE,DATASTREAM
CANADA,FUTURE,TREND_PRICE,PT1 A:00_0_D? INDEX,BBG
CATTLE,FUTURE,ACTIVE_TICKER,LCA COMDTY,BBG
CATTLE,FUTURE,Carry,LC1 A:00_0_N? COMDTY,BBG
CATTLE,FUTURE,Carry2,LC2 A:00_0_N? COMDTY,BBG
CATTLE,FUTURE,ClearMacro,"Live Cattle
",CLEARMACRO
CATTLE,FUTURE,FX XXXGBP,USDGBP CURNCY,BBG
CATTLE,FUTURE,GENERIC_TICKER,LC1_COMDTY,BBG
CATTLE,FUTURE,NO_ADJ,LC1 A:00_0_N? COMDTY,BBG
CATTLE,FUTURE,Return Period,22,BBG
CATTLE,FUTURE,RISK_TICKER,LC1 A:00_0_R? COMDTY,BBG
CATTLE,FUTURE,RISK_TICKER2,LC1 A:00_0_R? COMDTY,BBG
CATTLE,FUTURE,Spot,LC1 A:00_0_R? COMDTY,BBG
CATTLE,FUTURE,TREND_PRICE,LC1 A:00_0_D? COMDTY,BBG
CDX HY 5YR,INDEX,ClearMacro,US,CLEARMACRO
CDX HY 5YR,INDEX,Equity Performance,SPX Index,BBG
CDX HY 5YR,INDEX,FX XXXGBP,USDGBP CURNCY,BBG
CDX HY 5YR,INDEX,Return Period,252,BBG
CDX HY 5YR,INDEX,RISK_TICKER,CDXTHL15 INDEX,BBG
CDX HY 5YR,INDEX,RISK_TICKER2,CDXTHL15 INDEX,BBG
CDX HY 5YR,INDEX,Spot,CDXTHL15 INDEX,BBG
CDX HY 5YR,INDEX,TREND_PRICE,CDXTHL15 INDEX,BBG
CDX IG 5YR,INDEX,ClearMacro,US,CLEARMACRO
CDX IG 5YR,INDEX,Equity Performance,SPX Index,BBG
CDX IG 5YR,INDEX,FX XXXGBP,USDGBP CURNCY,BBG
CDX IG 5YR,INDEX,Return Period,252,BBG
CDX IG 5YR,INDEX,RISK_TICKER,CDXTIL15 INDEX,BBG
CDX IG 5YR,INDEX,RISK_TICKER2,CDXTIL15 INDEX,BBG
CDX IG 5YR,INDEX,Spot,CDXTIL15 INDEX,BBG
CDX IG 5YR,INDEX,TREND_PRICE,CDXTIL15 INDEX,BBG
CHF,FORWARD,10YYields,GTCHF10YR Corp,BBG
CHF,FORWARD,2YYields,GTCHF2YR Corp,BBG
CHF,FORWARD,3MYields,SWIB3MAY Index,BBG
CHF,FORWARD,Balance of Payments,G10:N146BBPG,HAVER
CHF,FORWARD,Carry,CHFI3M Curncy,BBG
CHF,FORWARD,Carry 12M,CHFI12M CURNCY,BBG
CHF,FORWARD,Carry2,US0003M Index,BBG
CHF,FORWARD,Carry2 12M,US0012M Curncy,BBG
CHF,FORWARD,ClearMacro,Switzerland,CLEARMACRO
CHF,FORWARD,CPI,SWI64...F,DATASTREAM
CHF,FORWARD,CPI_YOY,SZCPIYOY Index,BBG
CHF,FORWARD,Current Account,EHCACH INDEX,BBG
CHF,FORWARD,Economic Surprises,CESICHF Index,BBG
CHF,FORWARD,Equity Performance,SMI Index,BBG
CHF,FORWARD,Inflation Surprises,CSIICHF Index,BBG
CHF,FORWARD,Long term rate,SWGBOND.,DATASTREAM
CHF,FORWARD,OECD CLI,OECHKLAC Index,BBG
CHF,FORWARD,PPP,PPP SZ Index,BBG
CHF,FORWARD,Return Period,66,BBG
CHF,FORWARD,RISK_TICKER,USDCHF CURNCY,BBG
CHF,FORWARD,RISK_TICKER2,CHFUSD CURNCY,BBG
CHF,FORWARD,Short term rate,B5CHF3M,DATASTREAM
CHF,FORWARD,Spot,USDCHF Curncy,BBG
CHF,FORWARD,Terms of Trade,SWTOTPRCF,DATASTREAM
CHF,FORWARD,Unemployment Rate,EHUPCH Index,BBG
CHF,FUTURE,ACTIVE_TICKER,SFA CURNCY,BBG
CHF,FUTURE,Carry,CHFUSD CURNCY,BBG
CHF,FUTURE,Carry2,CHF1M CURNCY,BBG
CHF,FUTURE,ClearMacro,Switzerland,CLEARMACRO
CHF,FUTURE,CPI,SWI64...F,DATASTREAM
CHF,FUTURE,CPI_YOY,SZCPIYOY Index,BBG
CHF,FUTURE,Current Account,EHCACH INDEX,BBG
CHF,FUTURE,Equity Performance,SMI Index,BBG
CHF,FUTURE,FX XXXGBP,USDGBP CURNCY,BBG
CHF,FUTURE,GENERIC_TICKER,SF1_CURNCY,BBG
CHF,FUTURE,NO_ADJ,SF1 A:00_0_N? CURNCY,BBG
CHF,FUTURE,Return Period,66,BBG
CHF,FUTURE,RISK_TICKER,SF1 A:00_0_R? CURNCY,BBG
CHF,FUTURE,RISK_TICKER2,SF1 A:00_0_R? CURNCY,BBG
CHF,FUTURE,Spot,SF1 A:00_0_R? CURNCY,BBG
CHF,FUTURE,Terms of Trade,SWTOTPRCF,DATASTREAM
CHF,FUTURE,TREND_PRICE,SF1 A:00_0_D? CURNCY,BBG
CHF,FUTURE,Unemployment Rate,EHUPCH Index,BBG
CHINA,FUTURE,ACTIVE_TICKER,HCA INDEX,BBG
CHINA,FUTURE,ASR ERP,CHASERP,DATASTREAM
CHINA,FUTURE,Carry,HC1 A:00_0_N? INDEX,BBG
CHINA,FUTURE,Carry2,HC2 A:00_0_N? INDEX,BBG
CHINA,FUTURE,ClearMacro,China,CLEARMACRO
CHINA,FUTURE,FX XXXGBP,HKDGBP CURNCY,BBG
CHINA,FUTURE,FX XXXUSD,CNYUSD CURNCY,BBG
CHINA,FUTURE,GENERIC_TICKER,HC1_INDEX,BBG
CHINA,FUTURE,MSCI Index,MXCN INDEX,BBG
CHINA,FUTURE,NO_ADJ,HC1 A:00_0_N? INDEX,BBG
CHINA,FUTURE,Return Period,252,BBG
CHINA,FUTURE,RISK_TICKER,HC1 A:00_0_R? INDEX,BBG
CHINA,FUTURE,RISK_TICKER2,HC1 A:00_0_R? INDEX,BBG
CHINA,FUTURE,Spot,HC1 A:00_0_R? INDEX,BBG
CHINA,FUTURE,TREND_PRICE,HC1 A:00_0_D? INDEX,BBG
CHINA 10YR,FUTURE,ACTIVE_TICKER,TFTA Comdty,BBG
CHINA 10YR,FUTURE,Carry,I29903M INDEX,BBG
CHINA 10YR,FUTURE,Carry2,I29909Y INDEX,BBG
CHINA 10YR,FUTURE,Carry3,I29910Y INDEX,BBG
CHINA 10YR,FUTURE,ClearMacro,China,CLEARMACRO
CHINA 10YR,FUTURE,Equity Performance,SHSZ300 Index,BBG
CHINA 10YR,FUTURE,GENERIC_TICKER,TFT1_COMDTY,BBG
CHINA 10YR,FUTURE,NO_ADJ,TFT1 A:00_0_N? COMDTY,BBG
CHINA 10YR,FUTURE,Return Period,252,BBG
CHINA 10YR,FUTURE,RISK_TICKER,TFT1 A:00_0_R? COMDTY,BBG
CHINA 10YR,FUTURE,RISK_TICKER2,TFT1 A:00_0_R? COMDTY,BBG
CHINA 10YR,FUTURE,Spot,TFT1 A:00_0_R? COMDTY,BBG
CHINA 10YR,FUTURE,TREND_PRICE,TFT1 A:00_0_D? COMDTY,BBG
CLP,FORWARD,10YYields,CLGB10Y Index,BBG
CLP,FORWARD,2M_FWD,CHN2M CMPN Curncy,BBG
CLP,FORWARD,2YYields,CLGB2Y Index,BBG
CLP,FORWARD,3M_FWD,CHN3M CMPN Curncy,BBG
CLP,FORWARD,3MYields,CLTN90DN Index,BBG
CLP,FORWARD,ACTIVE_TICKER,USDCLPCR CURNCY,BBG
CLP,FORWARD,Carry,CHNI3M Curncy,BBG
CLP,FORWARD,Carry2,US0003M Curncy,BBG
CLP,FORWARD,Carry3,CEWSCLP Index,BBG
CLP,FORWARD,ClearMacro,Chile,CLEARMACRO
CLP,FORWARD,CPI_YOY,CNPINSYO Index,BBG
CLP,FORWARD,Current Account,EHCACL INDEX,BBG
CLP,FORWARD,Economic Surprises,CESICLP Index,BBG
CLP,FORWARD,Equity Performance,IPSA Index,BBG
CLP,FORWARD,FX XXXGBP,CLPGBP CURNCY,BBG
CLP,FORWARD,GBP_Spot,GBPCLP Curncy,BBG
CLP,FORWARD,GENERIC_TICKER,USDCLPCR_CURNCY,BBG
CLP,FORWARD,IMPVOL,USDCLPV3M Curncy,BBG
CLP,FORWARD,Inflation Surprises,CSIICLP Index,BBG
CLP,FORWARD,NO_ADJ,USDCLP CURNCY,BBG
CLP,FORWARD,OECD CLI,OECLKLAC Index,BBG
CLP,FORWARD,PPP,IPPPCHL Index,BBG
CLP,FORWARD,Return Period,22,BBG
CLP,FORWARD,RISK_TICKER,USDCLP CURNCY,BBG
CLP,FORWARD,RISK_TICKER2,CLPUSD CURNCY,BBG
CLP,FORWARD,Spot,USDCLP CURNCY,BBG
CLP,FORWARD,TREND_PRICE,USDCLP CURNCY,BBG
CLP,FORWARD,Unemployment Rate,CHUETOTL Index,BBG
CLP,FORWARD,USD_Spot,USDCLP Curncy,BBG
CNY,FORWARD,10YYields,GCNY10YR Index,BBG
CNY,FORWARD,2M_FWD,CCN2M CMPN Curncy,BBG
CNY,FORWARD,2YYields,GCNY2YR Index,BBG
CNY,FORWARD,3M_FWD,CCN3M CMPN Curncy,BBG
CNY,FORWARD,3MYields,SHIF3M Index,BBG
CNY,FORWARD,ACTIVE_TICKER,USDCNYCR CURNCY,BBG
CNY,FORWARD,Carry,CNHI3M Curncy,BBG
CNY,FORWARD,Carry 12M,CCNI12M CMPN Curncy,BBG
CNY,FORWARD,Carry2,US0003M Curncy,BBG
CNY,FORWARD,Carry2 12M,US0012M Curncy,BBG
